gene	log2FC_per_decade	P	FDR	log2FC_adj	P_adj	FDR_adj
SRSF9	-0.0132973692956052	0.0501077774800713	0.0633505472426615	-0.00612516019346509	0.387427954226192	0.629126127504917
SYMPK	-0.0221722210423984	0.0552431085908547	0.0684373358826526	-0.000960725469339636	0.932034062550352	0.964737012113522
TCERG1	-0.037883153256406	0.000517979747724011	0.00122243220462867	-0.0063902733335576	0.452742970739991	0.679114456109986
TFIP11	-0.00495207097239326	0.428027434275378	0.459156702222678	0.00295768754155463	0.648318468134527	0.795247859845857
THOC1	-0.0428204232507873	0.000140271665529479	0.000468454430164486	-0.0278392070473022	0.0139409085321775	0.0898969692199177
THOC2	-0.0366605977949595	0.000395132706348728	0.00101360129019891	-0.0369847745116255	0.000907609401516863	0.01958180994213
THOC3	-0.0846415584135353	0.000781458253595867	0.00168680623032279	-0.0216808051761881	0.316065040241625	0.560024954136385
THOC6	-0.0477296608201161	0.00956431598693723	0.014593826980068	-0.0363162821454856	0.0632606198753698	0.223942594358809
THOC7	-0.0109603956871253	0.229052046508418	0.261562659561226	-0.0104577600702813	0.288538707701227	0.553052570958247
TPR	-0.0362031572232317	0.000327728195576269	0.000892429086415378	-0.0165722299772976	0.0806566092418617	0.259567633378355
TRA2B	-0.0368684764739317	0.00118800267427473	0.00233640525940697	-0.00511816135780643	0.575973343316594	0.76080061020177
TXNL4A	-0.00821203031715416	0.463087857941266	0.490817669794036	0.0141833816487637	0.190005924098515	0.448413980872496
U2AF1	-0.0115125765240004	0.350108732603745	0.387307785442893	0.0205803409045513	0.0573077391817352	0.211322288232649
U2AF2	-0.0554577060962448	0.000335401038326519	0.000899484602784756	-0.00676165121143074	0.539079032270695	0.73961308309616
U2SURP	-0.0188060546308105	0.0685702474494946	0.0837029917142106	-0.00379930060768	0.716487027108412	0.828877149007771
UBA52	-0.0300926314746183	0.0013892563645162	0.00264406856472438	-0.0225392543204522	0.0226349617232857	0.114468235000616
UPF3B	-0.0475825958650325	6.86906111338937e-05	0.000264309525449982	-0.0160718699119013	0.102178236192207	0.299806331917234
WBP11	-0.0705567089252574	6.1098703961184e-07	1.17486903157555e-05	-0.0224204899932065	0.00786770287057819	0.0663134956234447
WDR33	-0.0213129797420856	0.000846134894024201	0.00176195148520334	-0.00669254644783011	0.243127322033303	0.500389953487147
WDR70	-0.017803532776438	0.0235862051938696	0.0323624675915885	-0.0189609662957826	0.0258204388606503	0.121012840379177
XAB2	-0.0550665527908399	0.00385348404903928	0.00649587311123764	-0.015844659401242	0.373363435597497	0.623446491516575
YBX1	-0.067237174654689	1.19002053063444e-06	1.62025872247919e-05	-0.0223160971248479	0.013442895525082	0.0898969692199177
ZCRB1	-0.0327803965481969	0.00444272501024662	0.00734918062442665	-0.036208146246829	0.00361158365831001	0.0376029592659336
ZNF830	-0.0207365452347106	0.0225615883463082	0.0311984463851293	-0.0209645232689767	0.0328282080242334	0.145264820507233
