sample	line	cond	oxy	days	rate	prolif	splice	splice96
Sample_61	SURF1_2	DEX	21	63.04166667	0.0738369364746664	1.20237876259995	0.400943809689888	0.492060900456181
Sample_93	HC2	DEX	21	258.25	0.077228561453427	-0.0139792070529899	-0.266224648991989	-0.349795996229767
Sample_91	HC2	DEX	21	182.0833333	0.0849646833690692	0.648382663587989	0.0551458114578544	-0.0127033765747497
Sample_89	HC2	DEX	21	136.2916667	0.0896341553267409	0.179064684818317	-0.113915139540718	-0.137893706015473
Sample_78	HC1	DEX	21	134.9583333	0.0910162687021907	-0.0269430141873497	-0.0389345508443713	0.0101433448801273
Sample_60	SURF1_2	DEX	21	47.91666667	0.0952575315167848	0.37287427422139	0.064268133780146	0.191493147772276
Sample_56	SURF1_1	DEX	21	117.3333333	0.0960261717410557	-0.964561825123019	-0.815498143265166	-0.691586057606272
Sample_67	SURF1_3	DEX	21	68.29166667	0.102835949484459	-0.254928211579059	-0.492567348890419	-0.408259231971674
Sample_90	HC2	DEX	21	158.2083333	0.103831736445139	0.168011035298513	-0.22917306196966	-0.322016973562756
Sample_92	HC2	DEX	21	202.25	0.113897009770732	0.412869370449541	-0.193711167210675	-0.209951041206813
Sample_99	HC3	DEX	21	100.2916667	0.117233158995349	-0.290156504285532	-0.377910534568914	-0.418659355982966
Sample_68	SURF1_3	DEX	21	83.16666667	0.122596080815285	0.0949620576919933	-0.299188342981656	-0.283494562012746
Sample_63	SURF1_2	DEX	21	109.9583333	0.124608095597736	0.418936069501522	-0.0881527239587353	-0.155491107166479
Sample_81	HC1	DEX	21	202	0.125037574181784	-0.14429144156657	-0.21660317430269	-0.115135460353194
Sample_80	HC1	DEX	21	180.875	0.129075047483685	-0.00103593582193035	-0.1162737664953	-0.0111531017543599
Sample_55	SURF1_1	DEX	21	100.2916667	0.146007114422961	-0.0876018915074141	-0.329066879532823	-0.331238876225691
Sample_98	HC3	DEX	21	85.08333333	0.148130827996804	-0.100279231717753	-0.208159908316013	-0.275445428384613
Sample_77	HC1	DEX	21	115	0.150381371010405	0.233582149408442	0.137539412263749	0.150022282594172
Sample_53	SURF1_1	DEX	21	55.04166667	0.155056661822923	0.097507573915277	-0.080852720925157	-0.00974499563428511
Sample_97	HC3	DEX	21	70.125	0.155443431660754	0.118506825482552	0.00802620540509453	-0.0155434867468999
Sample_79	HC1	DEX	21	157.9166667	0.174539891356161	0.192783217621095	-0.0630544276565529	-0.0392459608106377
Sample_66	SURF1_3	DEX	21	53.04166667	0.180477228219178	-0.17114335141939	-0.321955704041831	-0.168998202296574
Sample_88	HC2	DEX	21	115.3333333	0.188659919803278	0.878646187481643	0.332277403721177	0.293477474265452
Sample_86	HC2	DEX	21	83.16666667	0.190703055371409	1.1935170113842	0.476148920154077	0.466431955427098
Sample_201	HC4	DEX	21	69.25	0.207066672168313	0.589184336318856	0.253938338048388	0.306901112312762
Sample_62	SURF1_2	DEX	21	78.04166667	0.208142999749679	1.28334148739372	0.53317717370472	0.593953937463568
Sample_96	HC3	DEX	21	55.04166667	0.219413379898118	0.488088565501148	0.187993630518655	0.154141809163836
Sample_198	HC4	DEX	21	48.16666667	0.234365825173014	1.17573081365092	0.553292596725307	0.545404747900836
Sample_199	HC4	DEX	21	55.125	0.26532106488464	1.03623559544452	0.466554843188775	0.419608914884635
Sample_200	HC4	DEX	21	62.33333333	0.270121215071945	0.903308640133687	0.376429154199202	0.4082913088723
Sample_74	HC1	DEX	21	68.08333333	0.275720297138231	0.669984841976062	0.455965196113147	0.442580248148855
Sample_76	HC1	DEX	21	98.08333333	0.281039514379851	0.28717064413046	0.119305535563701	0.153287436299435
Sample_59	SURF1_2	DEX	21	32.29166667	0.312707884251885	1.39975909671069	0.513413140894437	0.334613039045943
Sample_196	HC4	DEX	21	34.29166667	0.322002875963588	1.31347033120084	0.522817044426401	0.526336620969472
Sample_52	SURF1_1	DEX	21	39.125	0.327849772498021	1.12279058987432	0.391945461855933	0.396243586510356
Sample_197	HC4	DEX	21	41.16666667	0.338750291264028	0.941992883664807	0.46658210839136	0.512652076228861
Sample_73	HC1	DEX	21	52.95833333	0.344708183699969	0.605453335211463	0.340790610869437	0.35474967643109
Sample_54	SURF1_1	DEX	21	85.08333333	0.346626420250449	-0.0403260809760291	-0.276660485024586	-0.202730447108014
Sample_95	HC3	DEX	21	39.125	0.350158864903104	0.657440211097029	0.423107709534291	0.435485448605891
Sample_87	HC2	DEX	21	98.125	0.378918413490144	0.855726215123147	0.276555423766939	0.193874347332741
Sample_85	HC2	DEX	21	68.29166667	0.404877881669611	1.38719993925645	0.717917241120894	0.787509071984675
Sample_72	HC1	DEX	21	37.33333333	0.442603816394598	0.70962857866335	0.575258219902601	0.629416971370833
Sample_84	HC2	DEX	21	53.04166667	0.453669648639725	1.81602483726764	1.10924280150126	1.12817522227306
Sample_51	SURF1_1	DEX	21	22.41666667	0.457240175445052	1.2296454927191	0.500877309633599	0.532670655980765
Sample_194	HC4	DEX	21	20.375	0.489709568478781	1.72459545323777	0.910790467823491	0.886486297933438
Sample_83	HC2	DEX	21	38.04166667	0.497201162055076	1.70967461918722	1.0740052292755	1.13460431692924
Sample_195	HC4	DEX	21	27.25	0.517145373946561	1.7930283239617	0.99618642439084	1.04433204649487
Sample_58	SURF1_2	DEX	21	21.125	0.564314907988849	1.42998398980405	0.769933839396059	0.795996952372033
Sample_65	SURF1_3	DEX	21	22.08333333	0.590134864624657	1.67545890315599	1.16618971030213	1.22046787076083
Sample_94	HC3	DEX	21	22.41666667	0.616758912067726	1.63989211486156	1.25974526152812	1.34273680884459
Sample_71	HC1	DEX	21	21.20833333	0.740496492086695	1.49118600609306	1.31664670646792	1.39310904838992
Sample_82	HC2	DEX	21	22.08333333	0.882696576576336	1.90453322925568	1.4916169166337	1.53544625145419
